"BehaviorSpace results (NetLogo 5.2.1)"
"trust01_v8.nlogo"
"experiment200"
"11/03/2015 17:19:43:644 +0000"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","30","0","31"
"[run number]","confirmationSkeptic","_network_type","proportionSkeptic","discovery_type","_nodes","_log","_exportMovie","[step]","count turtles","sum [costs] of turtles","count turtles with [ p? ]","count turtles with [ _p? ]","[ranking] of turtle discoverP","[ranking] of turtle discoverNotP"
"5","95","""small-world""","50","""lazyP-skepticNotP""","200","true","false","6","201","7","8","12","1","1"
"6","95","""small-world""","50","""lazyP-skepticNotP""","200","true","false","3","201","3","5","5","1","1"
"5","95","""small-world""","50","""lazyP-skepticNotP""","200","true","false","7","201","14","11","17","1","1"
"6","95","""small-world""","50","""lazyP-skepticNotP""","200","true","false","4","201","8","7","6","1","1"
"5","95","""small-world""","50","""lazyP-skepticNotP""","200","true","false","8","201","22","16","24","1","1"
"6","95","""small-world""","50","""lazyP-skepticNotP""","200","true","false","5","201","10","9","7","1","1"
"6","95","""small-world""","50","""lazyP-skepticNotP""","200","true","false","6","201","13","10","7","1","1"
"5","95","""small-world""","50","""lazyP-skepticNotP""","200","true","false","9","201","26","21","28","1","1"
"6","95","""small-world""","50","""lazyP-skepticNotP""","200","true","false","7","201","16","12","7","1","1"
"5","95","""small-world""","50","""lazyP-skepticNotP""","200","true","false","10","201","32","26","33","1","1"
"6","95","""small-world""","50","""lazyP-skepticNotP""","200","true","false","8","201","21","15","7","1","1"
"5","95","""small-world""","50","""lazyP-skepticNotP""","200","true","false","11","201","36","30","37","1","1"
"6","95","""small-world""","50","""lazyP-skepticNotP""","200","true","false","9","201","27","21","7","1","1"
"5","95","""small-world""","50","""lazyP-skepticNotP""","200","true","false","12","201","38","32","40","1","1"
"6","95","""small-world""","50","""lazyP-skepticNotP""","200","true","false","10","201","33","27","7","1","1"
"5","95","""small-world""","50","""lazyP-skepticNotP""","200","true","false","13","201","42","33","43","1","1"
"6","95","""small-world""","50","""lazyP-skepticNotP""","200","true","false","11","201","38","33","7","1","1"
"5","95","""small-world""","50","""lazyP-skepticNotP""","200","true","false","14","201","45","35","48","1","1"
"6","95","""small-world""","50","""lazyP-skepticNotP""","200","true","false","12","201","44","39","7","1","1"
"5","95","""small-world""","50","""lazyP-skepticNotP""","200","true","false","15","201","47","38","55","1","1"
"6","95","""small-world""","50","""lazyP-skepticNotP""","200","true","false","13","201","48","42","6","1","1"
"5","95","""small-world""","50","""lazyP-skepticNotP""","200","true","false","16","201","55","42","63","1","1"
"6","95","""small-world""","50","""lazyP-skepticNotP""","200","true","false","14","201","50","46","5","1","1"
"5","95","""small-world""","50","""lazyP-skepticNotP""","200","true","false","17","201","64","45","72","1","1"
"6","95","""small-world""","50","""lazyP-skepticNotP""","200","true","false","15","201","56","50","3","1","1"
"5","95","""small-world""","50","""lazyP-skepticNotP""","200","true","false","18","201","70","49","77","1","1"
"6","95","""small-world""","50","""lazyP-skepticNotP""","200","true","false","16","201","59","54","2","1","1"
"5","95","""small-world""","50","""lazyP-skepticNotP""","200","true","false","19","201","73","51","81","1","1"
"6","95","""small-world""","50","""lazyP-skepticNotP""","200","true","false","17","201","64","59","1","1","1"
"5","95","""small-world""","50","""lazyP-skepticNotP""","200","true","false","20","201","78","52","84","1","1"
"6","95","""small-world""","50","""lazyP-skepticNotP""","200","true","false","18","201","70","64","0","1","1"
"5","95","""small-world""","50","""lazyP-skepticNotP""","200","true","false","21","201","81","55","86","1","1"
"5","95","""small-world""","50","""lazyP-skepticNotP""","200","true","false","22","201","85","60","87","1","1"
"6","95","""small-world""","50","""lazyP-skepticNotP""","200","true","false","19","201","72","68","0","1","1"
"5","95","""small-world""","50","""lazyP-skepticNotP""","200","true","false","23","201","86","64","88","1","1"
"6","95","""small-world""","50","""lazyP-skepticNotP""","200","true","false","20","201","73","73","0","1","1"
"5","95","""small-world""","50","""lazyP-skepticNotP""","200","true","false","24","201","90","67","89","1","1"
"5","95","""small-world""","50","""lazyP-skepticNotP""","200","true","false","25","201","93","71","89","1","1"
"6","95","""small-world""","50","""lazyP-skepticNotP""","200","true","false","21","201","74","79","0","1","1"
