"BehaviorSpace results (NetLogo 5.2.1)"
"trust01_v9b.nlogo"
"experiment"
"11/05/2015 09:38:09:868 +0000"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","30","0","31"
"[run number]","_log","discovery_type","_exportMovie","proportionSkeptic","_network_type","_nodes","confirmationSkeptic","[step]","count turtles","sum [costs] of turtles","count turtles with [ p? ]","count turtles with [ _p? ]","[ranking] of turtle discoverP","[ranking] of turtle discoverNotP"
"13","true","""lazyP-skepticNotP""","false","50","""small-world""","10","95","5","11","14","7","1","0.5","1"
"13","true","""lazyP-skepticNotP""","false","50","""small-world""","10","95","6","11","17","9","1","0.5","1"
"15","true","""lazyP-skepticNotP""","false","50","""small-world""","10","95","0","11","0","1","1","1","0.2"
"15","true","""lazyP-skepticNotP""","false","50","""small-world""","10","95","1","11","2","2","1","1","0.2"
"13","true","""lazyP-skepticNotP""","false","50","""small-world""","10","95","7","11","21","11","0","0.5","1"
"15","true","""lazyP-skepticNotP""","false","50","""small-world""","10","95","2","11","4","3","1","1","0.2"
"16","true","""lazyP-skepticNotP""","false","50","""small-world""","10","95","0","11","0","1","1","0.5","1"
"15","true","""lazyP-skepticNotP""","false","50","""small-world""","10","95","3","11","6","5","1","1","0.2"
"16","true","""lazyP-skepticNotP""","false","50","""small-world""","10","95","1","11","1","2","2","0.5","1"
"15","true","""lazyP-skepticNotP""","false","50","""small-world""","10","95","4","11","9","8","1","1","0.2"
"15","true","""lazyP-skepticNotP""","false","50","""small-world""","10","95","5","11","12","10","0","1","0.2"
"15","true","""lazyP-skepticNotP""","false","50","""small-world""","10","95","6","11","12","11","0","1","0.2"
"17","true","""lazyP-skepticNotP""","false","50","""small-world""","10","95","0","11","0","1","1","1","0.2"
"11","true","""lazyP-skepticNotP""","false","50","""small-world""","10","95","4","11","10","6","2","0.5","0.5"
"17","true","""lazyP-skepticNotP""","false","50","""small-world""","10","95","1","11","2","2","1","1","0.2"
"11","true","""lazyP-skepticNotP""","false","50","""small-world""","10","95","5","11","12","7","2","0.5","0.5"
"17","true","""lazyP-skepticNotP""","false","50","""small-world""","10","95","2","11","4","3","1","1","0.2"
"11","true","""lazyP-skepticNotP""","false","50","""small-world""","10","95","6","11","14","8","2","0.5","0.5"
"17","true","""lazyP-skepticNotP""","false","50","""small-world""","10","95","3","11","6","4","0","1","0.2"
"11","true","""lazyP-skepticNotP""","false","50","""small-world""","10","95","7","11","16","9","2","0.5","0.5"
"17","true","""lazyP-skepticNotP""","false","50","""small-world""","10","95","4","11","6","5","0","1","0.2"
"17","true","""lazyP-skepticNotP""","false","50","""small-world""","10","95","5","11","6","7","0","1","0.2"
"18","true","""lazyP-skepticNotP""","false","50","""small-world""","10","95","0","11","0","1","1","1","1"
"17","true","""lazyP-skepticNotP""","false","50","""small-world""","10","95","6","11","7","9","0","1","0.2"
"17","true","""lazyP-skepticNotP""","false","50","""small-world""","10","95","7","11","7","10","0","1","0.2"
"17","true","""lazyP-skepticNotP""","false","50","""small-world""","10","95","8","11","8","11","0","1","0.2"
"18","true","""lazyP-skepticNotP""","false","50","""small-world""","10","95","1","11","1","2","2","1","1"
"18","true","""lazyP-skepticNotP""","false","50","""small-world""","10","95","2","11","4","2","3","1","1"
"18","true","""lazyP-skepticNotP""","false","50","""small-world""","10","95","3","11","7","2","4","1","1"
"18","true","""lazyP-skepticNotP""","false","50","""small-world""","10","95","4","11","10","2","6","1","1"
"18","true","""lazyP-skepticNotP""","false","50","""small-world""","10","95","5","11","12","2","7","1","1"
"18","true","""lazyP-skepticNotP""","false","50","""small-world""","10","95","6","11","16","1","8","1","1"
"18","true","""lazyP-skepticNotP""","false","50","""small-world""","10","95","7","11","18","1","9","1","1"
"18","true","""lazyP-skepticNotP""","false","50","""small-world""","10","95","8","11","20","0","10","1","1"
"19","true","""lazyP-skepticNotP""","false","50","""small-world""","10","95","0","11","0","1","1","1","1"
"12","true","""lazyP-skepticNotP""","false","50","""small-world""","10","95","5","11","11","3","5","1","1"
"18","true","""lazyP-skepticNotP""","false","50","""small-world""","10","95","9","11","20","0","11","1","1"
"19","true","""lazyP-skepticNotP""","false","50","""small-world""","10","95","1","11","0","2","2","1","1"
"12","true","""lazyP-skepticNotP""","false","50","""small-world""","10","95","6","11","16","5","5","1","1"
"19","true","""lazyP-skepticNotP""","false","50","""small-world""","10","95","2","11","0","1","3","1","1"
"19","true","""lazyP-skepticNotP""","false","50","""small-world""","10","95","3","11","1","0","5","1","1"
"19","true","""lazyP-skepticNotP""","false","50","""small-world""","10","95","4","11","2","0","7","1","1"
"20","true","""lazyP-skepticNotP""","false","50","""small-world""","10","95","0","11","0","1","1","1","0.5"
"19","true","""lazyP-skepticNotP""","false","50","""small-world""","10","95","5","11","2","0","9","1","1"
"12","true","""lazyP-skepticNotP""","false","50","""small-world""","10","95","7","11","19","6","5","1","1"
"19","true","""lazyP-skepticNotP""","false","50","""small-world""","10","95","6","11","2","0","10","1","1"
"20","true","""lazyP-skepticNotP""","false","50","""small-world""","10","95","1","11","3","1","2","1","0.5"
"19","true","""lazyP-skepticNotP""","false","50","""small-world""","10","95","7","11","2","0","11","1","1"
"21","true","""lazyP-skepticNotP""","false","50","""small-world""","10","95","0","11","0","1","1","0.2","1"
"20","true","""lazyP-skepticNotP""","false","50","""small-world""","10","95","2","11","6","1","4","1","0.5"
"21","true","""lazyP-skepticNotP""","false","50","""small-world""","10","95","1","11","3","2","1","0.2","1"
"16","true","""lazyP-skepticNotP""","false","50","""small-world""","10","95","2","11","4","4","2","0.5","1"
"16","true","""lazyP-skepticNotP""","false","50","""small-world""","10","95","3","11","7","5","2","0.5","1"
"21","true","""lazyP-skepticNotP""","false","50","""small-world""","10","95","2","11","6","4","1","0.2","1"
"20","true","""lazyP-skepticNotP""","false","50","""small-world""","10","95","3","11","8","1","5","1","0.5"
"22","true","""lazyP-skepticNotP""","false","50","""small-world""","10","95","0","11","0","1","1","0.2","0.2"
"16","true","""lazyP-skepticNotP""","false","50","""small-world""","10","95","4","11","11","6","1","0.5","1"
